,Prediction,value_count,NCTId
12798,Completed,1,NCT00934440
12799,Terminated,1,NCT00934518
12800,Completed,1,NCT00934856
12801,Completed,1,NCT00934895
12802,Completed,1,NCT00934947
12803,Completed,1,NCT00935311
12804,Completed,1,NCT00935337
12805,Completed,1,NCT00935649
12806,Completed,1,NCT00935753
12807,Completed,1,NCT00935792
12808,Completed,1,NCT00935818
12809,Completed,1,NCT00935883
12810,Completed,1,NCT00935987
12811,Completed,1,NCT00936000
12812,Completed,1,NCT00936052
12813,Completed,1,NCT00936117
12814,Completed,1,NCT00936221
12815,Terminated,1,NCT00936611
12816,Completed,1,NCT00936702
12817,Completed,1,NCT00936715
12818,Terminated,1,NCT00936858
12819,Completed,1,NCT00936936
12820,Completed,1,NCT00936975
12821,Completed,1,NCT00937235
12822,Completed,1,NCT00937365
12823,Completed,1,NCT00937495
12824,Completed,1,NCT00937768
12825,Completed,1,NCT00937937
12826,Completed,1,NCT00938223
12827,Completed,1,NCT00938314
12828,Completed,1,NCT00938431
12829,Completed,1,NCT00938457
12830,Completed,1,NCT00938470
12831,Completed,1,NCT00938587
12832,Completed,1,NCT00938886
12833,Completed,1,NCT00938912
12834,Completed,1,NCT00939029
12835,Completed,1,NCT00939055
12836,Completed,1,NCT00939094
12837,Completed,1,NCT00939159
12838,Completed,1,NCT00939484
12839,Completed,1,NCT00939510
12840,Completed,1,NCT00939523
12841,Terminated,1,NCT00939549
12842,Completed,1,NCT00939627
12843,Completed,1,NCT00939653
12844,Completed,1,NCT00939770
12845,Completed,1,NCT00939809
12846,Completed,1,NCT00939822
12847,Completed,1,NCT00939991
12848,Completed,1,NCT00940225
12849,Completed,1,NCT00940316
12850,Completed,1,NCT00940342
12851,Completed,1,NCT00940407
12852,Completed,1,NCT00940589
12853,Completed,1,NCT00940602
12854,Terminated,1,NCT00940784
12855,Completed,1,NCT00940901
12856,Completed,1,NCT00940992
12857,Completed,1,NCT00941031
12858,Terminated,1,NCT00941070
12859,Completed,1,NCT00941278
12860,Completed,1,NCT00941304
12861,Completed,1,NCT00941330
12862,Completed,1,NCT00941486
12863,Completed,1,NCT00941720
12864,Completed,1,NCT00941798
12865,Completed,1,NCT00941928
12866,Completed,1,NCT00942162
12867,Completed,1,NCT00942188
12868,Terminated,1,NCT00942266
12869,Completed,1,NCT00942305
12870,Terminated,1,NCT00942409
