,Prediction,value_count,NCTId
3861,Completed,1,NCT03021902
3862,Completed,1,NCT03021993
3863,Completed,1,NCT03022318
3864,Completed,1,NCT03022578
3865,Completed,1,NCT03022825
3866,Terminated,1,NCT03023046
3867,Completed,1,NCT03023059
3868,Terminated,1,NCT03024437
3869,Completed,1,NCT03025698
3870,Terminated,1,NCT03026062
3871,Terminated,1,NCT03026504
3872,Terminated,1,NCT03026790
3873,Completed,1,NCT03027388
3874,Completed,1,NCT03028337
3875,Completed,1,NCT03028350
3876,Completed,1,NCT03029247
3877,Completed,1,NCT03029429
3878,Terminated,1,NCT03029598
3879,Completed,1,NCT03029780
3880,Completed,1,NCT03030118
3881,Terminated,1,NCT03030261
3882,Completed,1,NCT03032172
3883,Terminated,1,NCT03032406
3884,Terminated,1,NCT03032484
3885,Completed,1,NCT03032783
3886,Completed,1,NCT03033225
3887,Completed,1,NCT03033303
3888,Completed,1,NCT03033576
3889,Terminated,1,NCT03033680
3890,Completed,1,NCT03033914
3891,Terminated,1,NCT03034200
3892,Completed,1,NCT03034356
3893,Completed,1,NCT03035331
3894,Completed,1,NCT03035409
3895,Completed,1,NCT03036930
3896,Completed,1,NCT03037385
3897,Terminated,1,NCT03037437
3898,Completed,1,NCT03038308
3899,Terminated,1,NCT03038594
3900,Completed,1,NCT03038672
3901,Completed,1,NCT03039790
3902,Completed,1,NCT03040726
3903,Terminated,1,NCT03040791
3904,Completed,1,NCT03040973
3905,Completed,1,NCT03040986
3906,Completed,1,NCT03041038
3907,Completed,1,NCT03041311
3908,Completed,1,NCT03041324
3909,Completed,1,NCT03041701
3910,Completed,1,NCT03042182
3911,Terminated,1,NCT03042468
3912,Completed,1,NCT03043053
3913,Completed,1,NCT03043313
3914,Completed,1,NCT03043599
3915,Completed,1,NCT03043664
3916,Terminated,1,NCT03043794
3917,Completed,1,NCT03043807
3918,Completed,1,NCT03044730
3919,Completed,1,NCT03045328
3920,Completed,1,NCT03045341
3921,Completed,1,NCT03046836
3922,Completed,1,NCT03046927
3923,Completed,1,NCT03047005
3924,Terminated,1,NCT03047135
3925,Completed,1,NCT03047213
3926,Completed,1,NCT03047980
3927,Completed,1,NCT03047993
3928,Terminated,1,NCT03048500
3929,Completed,1,NCT03049306
3930,Terminated,1,NCT03049618
3931,Terminated,1,NCT03050216
3932,Terminated,1,NCT03050554
3933,Completed,1,NCT03050801
3934,Completed,1,NCT03050814
3935,Completed,1,NCT03051386
3936,Terminated,1,NCT03051659
3937,Completed,1,NCT03051672
3938,Completed,1,NCT03052127
3939,Completed,1,NCT03052400
3940,Completed,1,NCT03053830
3941,Terminated,1,NCT03054363
3942,Terminated,1,NCT03054896
3943,Completed,1,NCT03055286
3944,Completed,1,NCT03055377
3945,Completed,1,NCT03055507
3946,Completed,1,NCT03055767
3947,Completed,1,NCT03056001
3948,Completed,1,NCT03056339
3949,Completed,1,NCT03056755
3950,Completed,1,NCT03057795
3951,Completed,1,NCT03058289
3952,Completed,1,NCT03058796
3953,Completed,1,NCT03059355
3954,Completed,1,NCT03059446
3955,Terminated,1,NCT03059485
3956,Completed,1,NCT03060577
3957,Completed,1,NCT03060772
3958,Completed,1,NCT03061201
3959,Completed,1,NCT03061474
3960,Completed,1,NCT03062449
3961,Terminated,1,NCT03062462
3962,Terminated,1,NCT03063203
3963,Completed,1,NCT03063606
3964,Completed,1,NCT03063619
3965,Completed,1,NCT03063632
3966,Completed,1,NCT03064438
3967,Completed,1,NCT03064490
3968,Completed,1,NCT03064867
3969,Completed,1,NCT03065179
3970,Terminated,1,NCT03066206
3971,Completed,1,NCT03066258
3972,Completed,1,NCT03066544
3973,Completed,1,NCT03066739
3974,Completed,1,NCT03067129
3975,Terminated,1,NCT03067571
3976,Terminated,1,NCT03067610
3977,Terminated,1,NCT03068442
3978,Terminated,1,NCT03069326
3979,Terminated,1,NCT03069378
3980,Completed,1,NCT03069469
3981,Terminated,1,NCT03069937
3982,Completed,1,NCT03070184
3983,Terminated,1,NCT03070301
3984,Terminated,1,NCT03070392
3985,Terminated,1,NCT03070886
3986,Completed,1,NCT03071406
3987,Completed,1,NCT03071861
3988,Completed,1,NCT03071874
3989,Completed,1,NCT03071965
3990,Completed,1,NCT03072043
3991,Completed,1,NCT03072147
3992,Completed,1,NCT03072381
3993,Completed,1,NCT03073525
3994,Completed,1,NCT03073694
3995,Completed,1,NCT03073733
3996,Completed,1,NCT03073785
3997,Completed,1,NCT03073967
3998,Completed,1,NCT03074006
3999,Terminated,1,NCT03074318
4000,Completed,1,NCT03074513
4001,Terminated,1,NCT03075826
4002,Terminated,1,NCT03076164
4003,Terminated,1,NCT03076281
4004,Completed,1,NCT03076554
4005,Completed,1,NCT03077243
4006,Completed,1,NCT03077412
4007,Completed,1,NCT03077451
4008,Completed,1,NCT03077542
4009,Completed,1,NCT03077685
4010,Terminated,1,NCT03077828
4011,Terminated,1,NCT03077841
4012,Completed,1,NCT03078010
4013,Completed,1,NCT03078192
4014,Completed,1,NCT03078530
4015,Completed,1,NCT03079401
4016,Completed,1,NCT03079999
4017,Terminated,1,NCT03080974
4018,Completed,1,NCT03081117
4019,Terminated,1,NCT03081767
4020,Completed,1,NCT03081858
4021,Completed,1,NCT03082534
4022,Completed,1,NCT03082677
4023,Completed,1,NCT03083431
4024,Terminated,1,NCT03083808
4025,Completed,1,NCT03083873
4026,Completed,1,NCT03084536
4027,Terminated,1,NCT03085147
4028,Completed,1,NCT03085485
4029,Completed,1,NCT03085719
4030,Completed,1,NCT03085784
4031,Terminated,1,NCT03085914
4032,Completed,1,NCT03086369
4033,Completed,1,NCT03086993
4034,Terminated,1,NCT03087019
4035,Completed,1,NCT03087058
4036,Terminated,1,NCT03087071
4037,Terminated,1,NCT03087448
4038,Completed,1,NCT03087708
4039,Completed,1,NCT03087760
4040,Completed,1,NCT03088709
4041,Terminated,1,NCT03088813
4042,Completed,1,NCT03088826
4043,Terminated,1,NCT03088878
4044,Terminated,1,NCT03089554
