NCTId,tb27_0,tb27_NonProbabilitySample,tb27_ProbabilitySample
NCT00000994,1,0,0
NCT00000995,1,0,0
NCT00000996,1,0,0
NCT00000997,1,0,0
NCT00000998,1,0,0
NCT00000999,1,0,0
NCT00001000,1,0,0
NCT00001001,1,0,0
NCT00001002,1,0,0
NCT00001003,1,0,0
NCT00001004,1,0,0
NCT00001005,1,0,0
NCT00001006,1,0,0
NCT00001007,1,0,0
NCT00001008,1,0,0
NCT00001009,1,0,0
NCT00001010,1,0,0
NCT00001011,1,0,0
NCT00001012,1,0,0
NCT00001013,1,0,0
NCT00001014,1,0,0
NCT00001015,1,0,0
NCT00001016,1,0,0
NCT00001017,1,0,0
NCT00001018,1,0,0
NCT00001019,1,0,0
NCT00001020,1,0,0
NCT00001021,1,0,0
NCT00001022,1,0,0
NCT00001023,1,0,0
NCT00001024,1,0,0
NCT00001025,1,0,0
NCT00001026,1,0,0
NCT00001027,1,0,0
NCT00001028,1,0,0
NCT00001029,1,0,0
NCT00001030,1,0,0
NCT00001031,1,0,0
NCT00001032,1,0,0
NCT00001033,1,0,0
NCT00001034,1,0,0
NCT00001035,1,0,0
NCT00001036,1,0,0
NCT00001037,1,0,0
NCT00001038,1,0,0
NCT00001039,1,0,0
NCT00001040,1,0,0
NCT00001041,1,0,0
NCT00001042,1,0,0
NCT00001043,1,0,0
NCT00001044,1,0,0
NCT00001045,1,0,0
NCT00001047,1,0,0
NCT00001048,1,0,0
NCT00001049,1,0,0
NCT00001050,1,0,0
NCT00001052,1,0,0
NCT00001053,1,0,0
NCT00001055,1,0,0
NCT00001056,1,0,0
NCT00001057,1,0,0
NCT00001058,1,0,0
NCT00001059,1,0,0
NCT00001060,1,0,0
NCT00001061,1,0,0
NCT00001062,1,0,0
NCT00001063,1,0,0
NCT00001064,1,0,0
NCT00001065,1,0,0
NCT00001066,1,0,0
NCT00001067,1,0,0
NCT00001068,1,0,0
NCT00001069,1,0,0
NCT00001071,1,0,0
NCT00001072,1,0,0
NCT00001073,1,0,0
NCT00001074,1,0,0
NCT00001075,1,0,0
NCT00001076,1,0,0
NCT00001077,0,1,0
NCT00001078,1,0,0
NCT00001079,1,0,0
NCT00001081,1,0,0
NCT00001082,1,0,0
NCT00001083,1,0,0
NCT00001084,1,0,0
NCT00001085,1,0,0
NCT00001086,1,0,0
NCT00001087,1,0,0
NCT00001088,1,0,0
NCT00001089,1,0,0
NCT00001090,1,0,0
NCT00001091,1,0,0
NCT00001092,0,1,0
NCT00001093,1,0,0
NCT00001094,1,0,0
NCT00001095,1,0,0
NCT00001096,1,0,0
NCT00001097,1,0,0
NCT00001100,1,0,0
NCT00001101,1,0,0
NCT00001102,1,0,0
NCT00001103,1,0,0
NCT00001104,1,0,0
NCT00001105,1,0,0
NCT00001106,1,0,0
NCT00001107,1,0,0
NCT00001108,1,0,0
NCT00001109,1,0,0
NCT00001110,1,0,0
NCT00001111,1,0,0
NCT00001112,1,0,0
NCT00001113,1,0,0
NCT00001114,1,0,0
NCT00001115,1,0,0
NCT00001116,1,0,0
NCT00001117,1,0,0
NCT00001118,1,0,0
NCT00001119,1,0,0
NCT00001120,1,0,0
NCT00001121,1,0,0
NCT00001122,1,0,0
NCT00001123,1,0,0
NCT00001125,1,0,0
NCT00001126,1,0,0
NCT00001127,1,0,0
NCT00001128,1,0,0
NCT00001129,1,0,0
NCT00001130,1,0,0
NCT00001131,1,0,0
NCT00001132,1,0,0
NCT00001133,1,0,0
NCT00001135,1,0,0
NCT00001136,1,0,0
NCT00001137,0,1,0
NCT00001142,1,0,0
NCT00001143,1,0,0
NCT00001144,1,0,0
NCT00001145,1,0,0
NCT00001146,1,0,0
NCT00001147,1,0,0
NCT00001148,1,0,0
NCT00001149,1,0,0
NCT00001150,1,0,0
NCT00001151,1,0,0
NCT00001152,1,0,0
NCT00001153,1,0,0
NCT00001154,0,1,0
NCT00001155,1,0,0
NCT00001156,1,0,0
NCT00001158,1,0,0
NCT00001159,0,1,0
NCT00001160,0,1,0
NCT00001161,1,0,0
NCT00001162,1,0,0
NCT00001163,0,1,0
NCT00001164,1,0,0
NCT00001165,1,0,0
NCT00001166,1,0,0
NCT00001167,1,0,0
NCT00001168,0,1,0
NCT00001169,1,0,0
NCT00001170,1,0,0
NCT00001171,1,0,0
NCT00001172,1,0,0
NCT00001173,1,0,0
NCT00001174,0,1,0
NCT00001176,1,0,0
NCT00001177,0,1,0
NCT00001178,1,0,0
NCT00001180,1,0,0
NCT00001181,1,0,0
NCT00001182,1,0,0
NCT00001183,0,1,0
NCT00001184,0,1,0
NCT00001185,1,0,0
NCT00001186,0,1,0
NCT00001188,1,0,0
NCT00001189,1,0,0
NCT00001190,1,0,0
NCT00001191,1,0,0
NCT00001192,1,0,0
NCT00001193,1,0,0
NCT00001194,1,0,0
NCT00001195,1,0,0
NCT00001196,1,0,0
NCT00001197,1,0,0
NCT00001198,1,0,0
NCT00001201,1,0,0
NCT00001202,1,0,0
NCT00001203,1,0,0
NCT00001204,0,1,0
NCT00001205,0,0,1
NCT00001206,1,0,0
NCT00001208,0,0,1
NCT00001209,1,0,0
NCT00001210,1,0,0
NCT00001211,1,0,0
NCT00001212,1,0,0
NCT00001213,1,0,0
NCT00001214,0,1,0
NCT00001215,0,1,0
NCT00001216,1,0,0
NCT00001217,1,0,0
NCT00001218,1,0,0
NCT00001219,0,0,1
NCT00001220,1,0,0
NCT00001221,1,0,0
NCT00001223,0,1,0
NCT00001224,1,0,0
NCT00001225,1,0,0
NCT00001226,1,0,0
NCT00001228,1,0,0
NCT00001229,1,0,0
NCT00001230,0,1,0
NCT00001231,0,1,0
NCT00001232,1,0,0
NCT00001233,1,0,0
NCT00001234,1,0,0
NCT00001235,1,0,0
NCT00001237,1,0,0
NCT00001238,0,1,0
NCT00001239,1,0,0
NCT00001240,1,0,0
NCT00001241,1,0,0
NCT00001242,0,1,0
NCT00001243,1,0,0
NCT00001244,0,0,1
NCT00001245,1,0,0
NCT00001246,0,1,0
NCT00001247,0,1,0
NCT00001248,1,0,0
NCT00001249,1,0,0
NCT00001250,1,0,0
NCT00001251,1,0,0
NCT00001252,0,0,1
NCT00001253,1,0,0
NCT00001254,0,1,0
NCT00001255,1,0,0
NCT00001256,1,0,0
NCT00001257,1,0,0
NCT00001258,0,1,0
NCT00001259,1,0,0
NCT00001260,1,0,0
NCT00001261,1,0,0
NCT00001262,1,0,0
NCT00001265,0,1,0
NCT00001266,1,0,0
NCT00001267,1,0,0
NCT00001269,1,0,0
NCT00001270,1,0,0
NCT00001271,1,0,0
NCT00001272,1,0,0
NCT00001275,1,0,0
NCT00001276,0,1,0
NCT00001277,1,0,0
NCT00001278,1,0,0
NCT00001280,1,0,0
NCT00001281,0,1,0
NCT00001282,1,0,0
NCT00001284,1,0,0
NCT00001285,1,0,0
NCT00001287,1,0,0
NCT00001288,1,0,0
NCT00001289,1,0,0
NCT00001291,1,0,0
NCT00001292,1,0,0
NCT00001294,1,0,0
NCT00001295,1,0,0
NCT00001296,1,0,0
NCT00001298,1,0,0
NCT00001300,1,0,0
NCT00001301,1,0,0
NCT00001302,1,0,0
NCT00001303,1,0,0
NCT00001304,1,0,0
NCT00001305,1,0,0
NCT00001306,1,0,0
NCT00001307,1,0,0
NCT00001308,1,0,0
NCT00001309,1,0,0
NCT00001310,1,0,0
NCT00001311,1,0,0
NCT00001313,1,0,0
NCT00001314,1,0,0
NCT00001316,0,1,0
NCT00001317,1,0,0
NCT00001318,1,0,0
NCT00001319,1,0,0
NCT00001320,1,0,0
NCT00001322,1,0,0
NCT00001323,1,0,0
NCT00001324,1,0,0
NCT00001325,1,0,0
NCT00001327,1,0,0
NCT00001328,1,0,0
NCT00001329,1,0,0
NCT00001330,1,0,0
NCT00001331,1,0,0
NCT00001332,1,0,0
NCT00001333,1,0,0
NCT00001335,1,0,0
NCT00001336,1,0,0
NCT00001337,1,0,0
NCT00001338,1,0,0
NCT00001339,1,0,0
NCT00001341,1,0,0
NCT00001342,1,0,0
NCT00001343,1,0,0
NCT00001344,1,0,0
NCT00001345,0,0,1
NCT00001346,1,0,0
NCT00001347,1,0,0
NCT00001349,0,1,0
NCT00001350,0,1,0
NCT00001351,0,1,0
NCT00001352,0,1,0
NCT00001353,1,0,0
NCT00001354,1,0,0
NCT00001355,0,1,0
NCT00001356,1,0,0
NCT00001357,1,0,0
NCT00001359,1,0,0
NCT00001360,0,1,0
NCT00001361,1,0,0
NCT00001362,1,0,0
NCT00001363,1,0,0
NCT00001364,1,0,0
NCT00001365,1,0,0
NCT00001366,1,0,0
NCT00001367,0,1,0
NCT00001368,1,0,0
NCT00001371,1,0,0
NCT00001372,0,1,0
NCT00001373,0,1,0
NCT00001375,1,0,0
NCT00001376,1,0,0
NCT00001377,1,0,0
NCT00001378,1,0,0
NCT00001379,1,0,0
NCT00001381,1,0,0
NCT00001382,1,0,0
NCT00001383,1,0,0
NCT00001384,1,0,0
NCT00001385,1,0,0
NCT00001386,1,0,0
NCT00001387,1,0,0
NCT00001390,1,0,0
NCT00001391,1,0,0
NCT00001392,0,0,1
NCT00001393,0,1,0
NCT00001394,1,0,0
NCT00001395,1,0,0
NCT00001396,1,0,0
NCT00001397,0,1,0
NCT00001398,1,0,0
NCT00001399,1,0,0
NCT00001400,1,0,0
NCT00001402,1,0,0
NCT00001403,0,1,0
NCT00001404,1,0,0
NCT00001405,0,1,0
NCT00001406,0,1,0
NCT00001407,1,0,0
NCT00001408,1,0,0
NCT00001409,1,0,0
NCT00001410,1,0,0
NCT00001412,1,0,0
NCT00001413,1,0,0
NCT00001414,1,0,0
NCT00001415,1,0,0
NCT00001416,1,0,0
NCT00001417,1,0,0
NCT00001418,1,0,0
NCT00001420,1,0,0
NCT00001421,1,0,0
NCT00001422,1,0,0
NCT00001424,1,0,0
NCT00001426,1,0,0
NCT00001427,1,0,0
NCT00001428,1,0,0
NCT00001430,1,0,0
NCT00001431,1,0,0
NCT00001432,1,0,0
NCT00001435,1,0,0
NCT00001436,1,0,0
NCT00001437,1,0,0
NCT00001438,1,0,0
NCT00001439,1,0,0
NCT00001440,1,0,0
NCT00001442,1,0,0
NCT00001443,1,0,0
NCT00001444,1,0,0
NCT00001445,1,0,0
NCT00001446,1,0,0
NCT00001448,1,0,0
NCT00001449,1,0,0
NCT00001450,1,0,0
NCT00001451,1,0,0
NCT00001452,0,1,0
NCT00001453,1,0,0
NCT00001454,1,0,0
NCT00001455,1,0,0
NCT00001456,0,1,0
NCT00001457,1,0,0
NCT00001458,0,1,0
NCT00001459,1,0,0
NCT00001460,1,0,0
NCT00001461,1,0,0
NCT00001462,1,0,0
