,NCTId,CollaboratorClass
5922,NCT03662308,UNKNOWN
7888,NCT03135366,UNKNOWN
7888,NCT03135366,UNKNOWN
7888,NCT03135366,UNKNOWN
8935,NCT03635905,UNKNOWN
5504,NCT04011059,UNKNOWN
3304,NCT00556842,UNKNOWN
5503,NCT03532776,UNKNOWN
7841,NCT03191253,UNKNOWN
6404,NCT01491919,UNKNOWN
5883,NCT01337063,UNKNOWN
8999,NCT04592549,UNKNOWN
5928,NCT01672541,UNKNOWN
9187,NCT04414982,UNKNOWN
8939,NCT04475718,UNKNOWN
7887,NCT03371186,UNKNOWN
5406,NCT00636779,UNKNOWN
6400,NCT02112058,UNKNOWN
3296,NCT04587258,UNKNOWN
9345,NCT04276805,UNKNOWN
1724,NCT02098603,UNKNOWN
8300,NCT00917007,UNKNOWN
9187,NCT04414982,UNKNOWN
7886,NCT03880006,UNKNOWN
1737,NCT01262339,UNKNOWN
7620,NCT02990793,UNKNOWN
4836,NCT04169867,UNKNOWN
8931,NCT03895021,UNKNOWN
9396,NCT04235907,UNKNOWN
5883,NCT01337063,UNKNOWN
9394,NCT04238143,UNKNOWN
9394,NCT04238143,UNKNOWN
4250,NCT01617161,UNKNOWN
5506,NCT03487692,UNKNOWN
5397,NCT02475850,UNKNOWN
5506,NCT03487692,UNKNOWN
7734,NCT02847962,UNKNOWN
5920,NCT04021342,UNKNOWN
5397,NCT02475850,UNKNOWN
5921,NCT02139722,UNKNOWN
6422,NCT03872895,UNKNOWN
8606,NCT00407615,UNKNOWN
1165,NCT03845400,UNKNOWN
8604,NCT00176722,UNKNOWN
3123,NCT03351140,UNKNOWN
4840,NCT03940209,UNKNOWN
8931,NCT03895021,UNKNOWN
4250,NCT01617161,UNKNOWN
8931,NCT03895021,UNKNOWN
8931,NCT03895021,UNKNOWN
5504,NCT04011059,UNKNOWN
9376,NCT04251988,UNKNOWN
7735,NCT03794999,UNKNOWN
1164,NCT01427673,UNKNOWN
8931,NCT03895021,UNKNOWN
4978,NCT02590198,UNKNOWN
