,NCTId,EnrollmentCount
4353,NCT00342758,6800
1910,NCT01545232,680
9799,NCT03904043,68
8502,NCT01174290,68
6041,NCT02881944,68
2893,NCT01288534,68
8970,NCT04524351,68
3662,NCT00787566,68
8848,NCT01033942,68
6285,NCT00162981,68
8082,NCT00397735,68
5690,NCT04540952,68
8775,NCT01616797,68
3795,NCT01899976,68
5919,NCT01086475,68
6108,NCT01419613,68
6788,NCT00563784,68
1873,NCT01591408,68
1014,NCT01599624,68
1018,NCT02098499,68
5630,NCT01410084,68
1442,NCT01613001,67904
8777,NCT02146326,679
6414,NCT01418014,678
3710,NCT00312845,676
1730,NCT01511393,6750
3524,NCT00845052,674
6649,NCT01265381,673
7170,NCT01508130,672
7538,NCT03950986,67000
3378,NCT01998802,670
6815,NCT01770210,670
7404,NCT01399099,67
6542,NCT00756444,67
8381,NCT00938782,67
2877,NCT02441348,67
1034,NCT03719391,67
7177,NCT00990106,67
3904,NCT01013324,67
8350,NCT02558855,67
3198,NCT01005732,67
3585,NCT01586858,67
7942,NCT00040885,67
3886,NCT04130516,67
9886,NCT03841864,667
1212,NCT00373958,666
4778,NCT02021838,666
6483,NCT01492348,666
7782,NCT03698279,665
5403,NCT03125291,664
3596,NCT00443313,664
6917,NCT00342199,663
2672,NCT03294538,663
5828,NCT03411577,662
3682,NCT00389675,661
6222,NCT02675426,661
6548,NCT02889640,6600
7451,NCT03334396,660
7870,NCT03744507,660
100,NCT00328380,660
84,NCT00573976,660
6799,NCT03063385,660
5974,NCT04589611,66
8929,NCT01128621,66
8652,NCT04305457,66
4603,NCT02208050,66
5623,NCT00573924,66
71,NCT03353480,66
3024,NCT01926678,66
6779,NCT02295410,66
2551,NCT01619020,66
8632,NCT02088749,66
1585,NCT02723617,66
5026,NCT02233517,66
5555,NCT01211418,66
5961,NCT04073225,66
3344,NCT01323114,66
