NCTId,ArmGroupType
NCT01998802,Placebo Comparator
NCT02405039,Placebo Comparator
NCT00646451,Placebo Comparator
NCT01152580,Placebo Comparator
NCT01923389,Placebo Comparator
NCT02180139,Placebo Comparator
NCT00917501,Placebo Comparator
NCT01852955,Placebo Comparator
NCT01764685,Placebo Comparator
NCT01780129,Placebo Comparator
NCT02239146,Placebo Comparator
NCT02305381,Placebo Comparator
NCT02305381,Placebo Comparator
NCT04433546,Placebo Comparator
NCT01744821,Placebo Comparator
NCT02868021,Placebo Comparator
NCT04129567,Placebo Comparator
NCT03136029,Placebo Comparator
NCT03136029,Placebo Comparator
NCT00646204,Placebo Comparator
NCT00499746,Placebo Comparator
NCT00781586,Placebo Comparator
NCT01858051,Placebo Comparator
NCT01611948,Placebo Comparator
NCT02970968,Placebo Comparator
NCT01268670,Placebo Comparator
NCT01619020,Placebo Comparator
NCT03196999,Placebo Comparator
NCT00729690,Placebo Comparator
NCT00004992,Placebo Comparator
NCT01598896,Placebo Comparator
NCT01347762,Placebo Comparator
NCT02311777,Placebo Comparator
NCT03148652,Placebo Comparator
NCT01329406,Placebo Comparator
NCT01751152,Placebo Comparator
NCT00590161,Placebo Comparator
NCT03426137,Placebo Comparator
NCT01652573,Placebo Comparator
NCT01376778,Placebo Comparator
NCT02714413,Placebo Comparator
NCT00680706,Placebo Comparator
NCT02219321,Placebo Comparator
NCT02828111,Placebo Comparator
NCT02828111,Placebo Comparator
NCT02828111,Placebo Comparator
NCT02828111,Placebo Comparator
NCT02840097,Placebo Comparator
NCT00675506,Placebo Comparator
NCT01049048,Placebo Comparator
NCT01689025,Placebo Comparator
NCT00481507,Placebo Comparator
NCT00797615,Placebo Comparator
NCT02517996,Placebo Comparator
NCT01862536,Placebo Comparator
NCT03333109,Placebo Comparator
NCT03426137,Placebo Comparator
NCT00798876,Placebo Comparator
NCT02841280,Placebo Comparator
NCT00713479,Placebo Comparator
NCT03163849,Placebo Comparator
NCT01334554,Placebo Comparator
NCT03930745,Placebo Comparator
NCT02763917,Placebo Comparator
NCT02205528,Placebo Comparator
NCT04346615,Placebo Comparator
NCT00405912,Placebo Comparator
NCT00658476,Placebo Comparator
NCT01193777,Placebo Comparator
NCT00986115,Placebo Comparator
NCT01105169,Placebo Comparator
NCT01105169,Placebo Comparator
NCT01451762,Placebo Comparator
NCT04585230,Placebo Comparator
NCT01570309,Placebo Comparator
NCT01903876,Placebo Comparator
NCT04221815,Placebo Comparator
NCT03418649,Placebo Comparator
NCT00627185,Placebo Comparator
NCT01002118,Placebo Comparator
NCT03211156,Placebo Comparator
NCT01013870,Placebo Comparator
NCT04276558,Placebo Comparator
NCT03127358,Placebo Comparator
NCT01228214,Placebo Comparator
NCT02101515,Placebo Comparator
NCT01011829,Placebo Comparator
NCT03199313,Placebo Comparator
NCT03199313,Placebo Comparator
NCT03199313,Placebo Comparator
NCT03199313,Placebo Comparator
NCT03199313,Placebo Comparator
NCT03294538,Placebo Comparator
NCT00835289,Placebo Comparator
NCT01285362,Placebo Comparator
NCT03004443,Placebo Comparator
NCT01008280,Placebo Comparator
NCT01564563,Placebo Comparator
NCT01217840,Placebo Comparator
NCT01624194,Placebo Comparator
NCT02484950,Placebo Comparator
