,NCTId,OverallStatus
405,NCT03692741,Withheld
406,NCT03685136,Withheld
407,NCT03682432,Withheld
408,NCT03681886,Withheld
409,NCT03681496,Withheld
373,NCT03862300,Withheld
410,NCT03678103,Withheld
411,NCT03677388,Withheld
393,NCT03736798,Withheld
400,NCT03706430,Withheld
381,NCT03790046,Withheld
376,NCT03839199,Withheld
374,NCT03858140,Withheld
377,NCT03835026,Withheld
378,NCT03812679,Withheld
379,NCT03805074,Withheld
380,NCT03799549,Withheld
382,NCT03789669,Withheld
383,NCT03788551,Withheld
384,NCT03782116,Withheld
375,NCT03851510,Withheld
385,NCT03779984,Withheld
386,NCT03771521,Withheld
387,NCT03771352,Withheld
388,NCT03764254,Withheld
389,NCT03748823,Withheld
390,NCT03748771,Withheld
391,NCT03748316,Withheld
2182,NCT03723577,Withdrawn
2170,NCT00469625,Withdrawn
2185,NCT02257346,Withdrawn
1917,NCT03385057,Withdrawn
2215,NCT01639573,Withdrawn
2245,NCT00573092,Withdrawn
1503,NCT00640692,Withdrawn
2135,NCT02606006,Withdrawn
2263,NCT00547716,Withdrawn
2275,NCT01890044,Withdrawn
2160,NCT03304990,Withdrawn
1980,NCT03005639,Withdrawn
2126,NCT02111031,Withdrawn
2108,NCT01403428,Withdrawn
2099,NCT03377621,Withdrawn
2042,NCT01630551,Withdrawn
2040,NCT02572505,Withdrawn
9136,NCT04477642,Withdrawn
9199,NCT04401527,Withdrawn
1967,NCT01188473,Withdrawn
1858,NCT00855153,Withdrawn
2294,NCT01431742,Withdrawn
1870,NCT02341079,Withdrawn
2288,NCT00930995,Withdrawn
2629,NCT00167440,Withdrawn
2326,NCT04018417,Withdrawn
2402,NCT02141178,Withdrawn
2655,NCT02332694,Withdrawn
2660,NCT03340233,Withdrawn
2651,NCT02548117,Withdrawn
9273,NCT04336774,Withdrawn
1457,NCT03495063,Withdrawn
2636,NCT03791814,Withdrawn
2616,NCT03148652,Withdrawn
2614,NCT02429505,Withdrawn
2611,NCT02311777,Withdrawn
2603,NCT02027324,Withdrawn
8736,NCT03315663,Withdrawn
2589,NCT01770717,Withdrawn
2574,NCT00758693,Withdrawn
2532,NCT01858051,Withdrawn
2513,NCT01498705,Withdrawn
2506,NCT01349088,Withdrawn
2465,NCT01433770,Withdrawn
1483,NCT02386150,Withdrawn
1484,NCT02385825,Withdrawn
1485,NCT02092142,Withdrawn
2420,NCT00123578,Withdrawn
1837,NCT01554644,Withdrawn
1085,NCT00352729,Withdrawn
1791,NCT01075165,Withdrawn
4839,NCT02379403,Withdrawn
4708,NCT01810731,Withdrawn
4718,NCT02679092,Withdrawn
4731,NCT02812030,Withdrawn
4759,NCT01428154,Withdrawn
4785,NCT02019680,Withdrawn
7260,NCT01779427,Withdrawn
4798,NCT03953794,Withdrawn
4817,NCT03086395,Withdrawn
4824,NCT03290963,Withdrawn
4833,NCT00536445,Withdrawn
4858,NCT01457976,Withdrawn
1783,NCT01018238,Withdrawn
7220,NCT00270725,Withdrawn
4906,NCT00940784,Withdrawn
4915,NCT02862184,Withdrawn
4942,NCT02165644,Withdrawn
4949,NCT01479582,Withdrawn
7182,NCT02845349,Withdrawn
4954,NCT02299115,Withdrawn
4960,NCT02941601,Withdrawn
2738,NCT03338114,Withdrawn
4976,NCT01972048,Withdrawn
4700,NCT02274012,Withdrawn
4681,NCT04401631,Withdrawn
4666,NCT03482206,Withdrawn
4660,NCT03831724,Withdrawn
1551,NCT03249675,Withdrawn
1752,NCT00519402,Withdrawn
1699,NCT00211614,Withdrawn
1653,NCT03814096,Withdrawn
1652,NCT01574677,Withdrawn
4467,NCT01954290,Withdrawn
4480,NCT03602118,Withdrawn
4487,NCT03352479,Withdrawn
7447,NCT01434771,Withdrawn
4499,NCT02398942,Withdrawn
7422,NCT02629068,Withdrawn
4541,NCT02366234,Withdrawn
4578,NCT03176420,Withdrawn
9754,NCT03938077,Withdrawn
9755,NCT03937531,Withdrawn
4592,NCT00580944,Withdrawn
4596,NCT04163224,Withdrawn
4598,NCT02647983,Withdrawn
4605,NCT02357277,Withdrawn
1147,NCT01538459,Withdrawn
7348,NCT02689713,Withdrawn
1450,NCT01952028,Withdrawn
4323,NCT02317250,Withdrawn
2762,NCT01801670,Withdrawn
4027,NCT01890798,Withdrawn
4163,NCT01166919,Withdrawn
4161,NCT03042117,Withdrawn
1244,NCT02418702,Withdrawn
4155,NCT02299726,Withdrawn
7671,NCT03865901,Withdrawn
7675,NCT00731887,Withdrawn
1253,NCT01663558,Withdrawn
4128,NCT03481894,Withdrawn
4112,NCT03606655,Withdrawn
7709,NCT02764528,Withdrawn
3898,NCT01117974,Withdrawn
2772,NCT00986115,Withdrawn
7862,NCT03828201,Withdrawn
3865,NCT01760980,Withdrawn
9668,NCT04007588,Withdrawn
1291,NCT02517671,Withdrawn
3826,NCT00732147,Withdrawn
3805,NCT02378740,Withdrawn
3796,NCT01063959,Withdrawn
3763,NCT01685034,Withdrawn
3705,NCT01813266,Withdrawn
7988,NCT01980979,Withdrawn
