,NCTId,ConditionBrowseLeafId
9266,NCT04341727,T5197
2205,NCT04321811,T5197
1648,NCT04604145,T5197
5335,NCT04399889,T5197
9265,NCT04342663,T5197
3804,NCT04482699,T5197
5725,NCT04432272,T5197
4873,NCT00342524,T5197
9056,NCT04545047,T5197
8243,NCT04420988,T5197
8993,NCT04595903,T5197
5832,NCT04463264,T5197
9208,NCT04391179,T5197
9145,NCT04466644,T5197
144,NCT04423770,T5197
9207,NCT04392232,T5197
1173,NCT04542915,T5197
9256,NCT04349202,T5197
8193,NCT04470544,T5197
9271,NCT04339998,T5197
1227,NCT04530136,T5197
9219,NCT04382391,T5197
7669,NCT04377581,T5197
3961,NCT03260920,T5179
3583,NCT04428112,T5179
4184,NCT02004691,T5179
3985,NCT02933502,T5173
1406,NCT02601469,T5173
3940,NCT02932878,T5173
6185,NCT00116090,T5155
7636,NCT01207687,T5150
6631,NCT02831257,T5150
6137,NCT00911248,T5150
9231,NCT04374305,T5150
7290,NCT03079999,T5150
7567,NCT03870204,T5142
9688,NCT03995316,T513
7198,NCT03254628,T513
1923,NCT00037206,T511
8188,NCT01632202,T509
3909,NCT00384397,T5083
2218,NCT01702428,T5083
2145,NCT01681992,T5083
6166,NCT00541164,T5078
9846,NCT03867539,T5078
9930,NCT03810508,T5078
2402,NCT02141178,T5078
3529,NCT01588158,T5078
6805,NCT00681616,T5078
7111,NCT00336622,T5078
1632,NCT04504019,T5078
9288,NCT04322448,T5078
9656,NCT04017390,T5078
5353,NCT03880812,T5078
3965,NCT03254199,T5078
7475,NCT01304407,T5076
9575,NCT04079179,T5074
2375,NCT01652573,T5030
4678,NCT00364234,T5030
2532,NCT01858051,T5030
4928,NCT02124109,T5010
9300,NCT04315883,T5006
7621,NCT02114229,T5006
4898,NCT02684071,T5006
3561,NCT03251989,T5006
6023,NCT03276195,T4998
3499,NCT04420156,T4991
5757,NCT00254176,T4991
4861,NCT03083431,T4991
6423,NCT03662776,T4987
9624,NCT04040205,T4987
3207,NCT00065455,T4955
6745,NCT01233609,T4955
3168,NCT01860092,T4955
9244,NCT04359108,T4955
7335,NCT02582957,T4937
8195,NCT00004494,T4937
4380,NCT02178982,T4937
1654,NCT00889772,T4937
7595,NCT04545424,T4937
7307,NCT04574869,T4937
3948,NCT01058421,T4937
2537,NCT04433546,T4937
9075,NCT04524962,T4937
3821,NCT00796419,T4937
5335,NCT04399889,T4937
6748,NCT04311320,T4937
2061,NCT04326036,T4937
9127,NCT04482712,T4937
2956,NCT00767039,T4937
2507,NCT03120585,T4937
9219,NCT04382391,T4937
4186,NCT04357730,T4937
1050,NCT03021824,T4937
3804,NCT04482699,T4937
2940,NCT02834624,T4937
9284,NCT04328467,T4937
9205,NCT04393155,T4937
8652,NCT04305457,T4937
1679,NCT00976833,T4937
9199,NCT04401527,T4937
2220,NCT01461889,T4937
4379,NCT02814994,T4937
9146,NCT04466098,T4937
5165,NCT04536350,T4937
3350,NCT01096771,T4937
9261,NCT04344184,T4937
7435,NCT02656017,T493
7922,NCT00072046,T4916
4534,NCT00656955,T4916
5911,NCT01773655,T4916
1893,NCT03126331,T4916
9678,NCT04000880,T4916
3002,NCT00001703,T4916
5018,NCT01221506,T4916
6337,NCT04213664,T4916
4069,NCT01598597,T4916
18,NCT00340457,T4916
7799,NCT04060342,T4916
9122,NCT04485013,T4916
9848,NCT03867045,T4916
9111,NCT04495257,T4916
6587,NCT01446224,T4916
6613,NCT03598816,T4916
8796,NCT03852030,T4916
3884,NCT00491738,T4916
3458,NCT00566995,T4916
9930,NCT03810508,T4909
8987,NCT04599881,T4899
1101,NCT02498301,T4897
6279,NCT00358332,T4870
6276,NCT00460525,T4870
6280,NCT00349713,T4870
4821,NCT00223990,T4870
3661,NCT04495569,T4870
4243,NCT00308061,T4870
4860,NCT00317473,T4870
4822,NCT03961555,T4870
1485,NCT02092142,T4866
1428,NCT00584454,T4866
2688,NCT04105166,T4863
3609,NCT03966053,T4844
5190,NCT04108052,T4820
7367,NCT01623492,T4818
8279,NCT00458042,T4818
8870,NCT02318186,T4818
5962,NCT00902603,T4818
7081,NCT00367770,T4818
5064,NCT00173537,T4818
5863,NCT00370214,T4818
5835,NCT01659411,T4818
2904,NCT03304548,T4818
8684,NCT03315507,T4818
7846,NCT01153386,T4818
4989,NCT04071327,T4818
53,NCT03197688,T4818
5451,NCT01966302,T4818
5870,NCT01105091,T4818
7847,NCT01165476,T4818
5699,NCT01646541,T4818
4991,NCT01174173,T4818
3729,NCT02191137,T4818
1323,NCT02387203,T4800
5490,NCT02040142,T4800
6156,NCT00653783,T4750
8973,NCT02422485,T4750
8474,NCT01804452,T4750
9083,NCT04518059,T4750
8570,NCT02133846,T4750
3961,NCT03260920,T4720
4184,NCT02004691,T4720
3583,NCT04428112,T4720
6207,NCT00046475,T4717
8716,NCT03602014,T4717
9341,NCT04279847,T4715
9130,NCT04480086,T4715
9789,NCT03912064,T4715
5440,NCT02530619,T4715
7913,NCT00719563,T4715
8150,NCT00568308,T4710
3235,NCT00906984,T4710
4307,NCT04145141,T4710
3278,NCT03411863,T4709
8428,NCT03613038,T4709
7109,NCT00349622,T4709
2738,NCT03338114,T4709
9554,NCT04090684,T4709
