,NCTId,InterventionAncestorId
4225,NCT03474029,D000065693
8394,NCT00002381,D000065693
4084,NCT00000641,D000065693
3229,NCT00395304,D000065693
2448,NCT00734344,D000065693
4273,NCT02889809,D000065693
8164,NCT00482963,D000065693
4160,NCT00100581,D000065693
8852,NCT03723395,D000065693
7533,NCT00702637,D000065693
7974,NCT01641809,D000065693
3679,NCT00084136,D000065693
4638,NCT02410278,D000065693
3368,NCT00112047,D000065693
1156,NCT00154362,D000065693
1139,NCT00154323,D000065693
1774,NCT01329939,D000065693
5471,NCT02635334,D000065693
2635,NCT00924898,D000065693
7479,NCT02169882,D000065693
2968,NCT00266058,D000065693
6974,NCT00621751,D000065693
4480,NCT03602118,D000065693
7441,NCT02832778,D000065693
6620,NCT00342355,D000065693
2142,NCT00258479,D000065693
1216,NCT03893032,D000065693
6984,NCT00233090,D000065693
4694,NCT00816426,D000065693
1908,NCT00118898,D000065693
7179,NCT00162461,D000065693
4159,NCT00703846,D000065692
1323,NCT02387203,D000065692
6055,NCT02357836,D000065692
4160,NCT00100581,D000065692
7868,NCT00337467,D000065692
5296,NCT00298155,D000065692
5845,NCT01480219,D000065692
7856,NCT02386098,D000065692
4274,NCT00358917,D000065692
8131,NCT00481182,D000065692
7237,NCT01434173,D000065692
8914,NCT02341638,D000065692
6852,NCT00859781,D000065692
8280,NCT01910402,D000065692
2968,NCT00266058,D000065692
8331,NCT01772290,D000065692
4024,NCT00356915,D000065692
8488,NCT00063804,D000065692
2773,NCT01723059,D000065692
8852,NCT03723395,D000065692
5891,NCT00811954,D000065692
6209,NCT00851799,D000065692
7348,NCT02689713,D000065692
6620,NCT00342355,D000065692
3008,NCT01227590,D000065692
8590,NCT00245453,D000065692
4270,NCT02188368,D000065692
1403,NCT00006604,D000065692
7839,NCT00827112,D000065692
7443,NCT00675714,D000065692
8078,NCT01389544,D000065692
1141,NCT00414518,D000065692
1908,NCT00118898,D000065692
3969,NCT01177176,D000065690
8363,NCT01046214,D000065690
8156,NCT00427128,D000065690
6282,NCT00298610,D000065690
8795,NCT00183339,D000065690
8360,NCT00074802,D000065690
2230,NCT01299896,D000065690
2190,NCT00308763,D000065690
9212,NCT04388319,D000065690
9818,NCT03883581,D000065690
3185,NCT00986310,D000065690
8889,NCT00178048,D000065690
4297,NCT00006286,D000065690
3083,NCT03978442,D000065690
7112,NCT00113737,D000065690
4616,NCT00027404,D000065690
2814,NCT00531518,D000065690
8478,NCT02929667,D000065690
3100,NCT02039960,D000065690
1762,NCT02995915,D000065690
4671,NCT01077596,D000065690
4910,NCT04570449,D000065690
5347,NCT01615055,D000065690
6608,NCT00202449,D000065690
5616,NCT01602913,D000065690
6595,NCT01533155,D000065690
4175,NCT02655354,D000065690
5417,NCT03431831,D000065690
5261,NCT00385762,D000065690
1065,NCT01589978,D000065689
2635,NCT00924898,D000065689
2442,NCT00004727,D000065689
7974,NCT01641809,D000065689
7895,NCT00002306,D000065689
7027,NCT01500434,D000065689
7894,NCT00002074,D000065689
7437,NCT00823212,D000065689
4405,NCT00734539,D000065689
7443,NCT00675714,D000065689
3679,NCT00084136,D000065689
4175,NCT02655354,D000065689
3368,NCT00112047,D000065689
7893,NCT00002305,D000065689
8331,NCT01772290,D000065689
6926,NCT01510327,D000065689
1908,NCT00118898,D000065689
8164,NCT00482963,D000065689
4160,NCT00100581,D000065689
5096,NCT00000788,D000065689
7441,NCT02832778,D000065689
6620,NCT00342355,D000065689
9265,NCT04342663,D000065689
2968,NCT00266058,D000065689
2448,NCT00734344,D000065689
2635,NCT00924898,D000065688
7441,NCT02832778,D000065688
3368,NCT00112047,D000065688
8164,NCT00482963,D000065688
7974,NCT01641809,D000065688
7895,NCT00002306,D000065688
2448,NCT00734344,D000065688
7894,NCT00002074,D000065688
2968,NCT00266058,D000065688
4405,NCT00734539,D000065688
4160,NCT00100581,D000065688
8331,NCT01772290,D000065688
7893,NCT00002305,D000065688
5096,NCT00000788,D000065688
3679,NCT00084136,D000065688
6620,NCT00342355,D000065688
7443,NCT00675714,D000065688
1908,NCT00118898,D000065688
3828,NCT00002120,D000065687
8852,NCT03723395,D000065687
3700,NCT00729937,D000065687
4823,NCT02485145,D000065686
9265,NCT04342663,D000065609
7237,NCT01434173,D000065609
5070,NCT00138411,D000065609
63,NCT04229212,D000065609
7862,NCT03828201,D000065609
2309,NCT01753115,D000065609
1283,NCT02223338,D000065609
4084,NCT00000641,D000065609
6446,NCT00481689,D000065609
5522,NCT01243437,D000065609
9554,NCT04090684,D000065609
4175,NCT02655354,D000065609
1572,NCT01618591,D000065609
4134,NCT02961751,D000065609
9760,NCT03933631,D000065609
4123,NCT04171466,D000065609
5347,NCT01615055,D000065607
5616,NCT01602913,D000065607
2968,NCT00266058,D000065607
8331,NCT01772290,D000065607
2309,NCT01753115,D000065607
6055,NCT02357836,D000065607
6608,NCT00202449,D000065607
3100,NCT02039960,D000065607
3185,NCT00986310,D000065607
7862,NCT03828201,D000065607
1283,NCT02223338,D000065607
3368,NCT00112047,D000065607
63,NCT04229212,D000065607
8078,NCT01389544,D000065607
7441,NCT02832778,D000065607
8478,NCT02929667,D000065607
7839,NCT00827112,D000065607
6620,NCT00342355,D000065607
7443,NCT00675714,D000065607
3083,NCT03978442,D000065607
8164,NCT00482963,D000065607
1065,NCT01589978,D000065607
3008,NCT01227590,D000065607
7868,NCT00337467,D000065607
5522,NCT01243437,D000065607
1323,NCT02387203,D000065607
8590,NCT00245453,D000065607
7237,NCT01434173,D000065607
4405,NCT00734539,D000065607
8156,NCT00427128,D000065607
5261,NCT00385762,D000065607
