,NCTId,BaselineMeasureDispersionType
3789,NCT01591681,Inter-Quartile Range
1693,NCT01782898,Inter-Quartile Range
7058,NCT01227005,Inter-Quartile Range
5110,NCT01280968,Full Range
7991,NCT00872989,Full Range
7992,NCT00369785,Full Range
7993,NCT00121186,Full Range
1857,NCT01268189,Full Range
1857,NCT01268189,Full Range
6105,NCT01447407,Full Range
6089,NCT01648166,Full Range
3151,NCT02319174,Full Range
1659,NCT01966718,Full Range
5198,NCT01575860,Full Range
8387,NCT00504023,Full Range
5495,NCT00156390,Full Range
5110,NCT01280968,Full Range
3358,NCT02460991,Full Range
7996,NCT01058395,Full Range
6725,NCT00402896,Full Range
5110,NCT01280968,Full Range
7964,NCT00040937,Full Range
4455,NCT00415051,Full Range
2439,NCT02517996,Full Range
2439,NCT02517996,Full Range
7979,NCT00217620,Full Range
7980,NCT00775645,Full Range
4929,NCT00422799,Full Range
6724,NCT00410189,Full Range
7970,NCT01385137,Full Range
7981,NCT00124579,Full Range
8691,NCT00118157,Full Range
7983,NCT00113399,Full Range
4298,NCT00098748,Full Range
8897,NCT01797159,Full Range
8690,NCT00410904,Full Range
7982,NCT00096031,Full Range
136,NCT01568424,Full Range
5496,NCT01528878,Full Range
2370,NCT00271011,Full Range
4566,NCT02379221,Full Range
7743,NCT02127281,Full Range
2375,NCT01652573,Full Range
4042,NCT02924051,Full Range
1649,NCT02556112,Full Range
4257,NCT01578967,Full Range
1637,NCT03334175,Full Range
7743,NCT02127281,Full Range
4040,NCT02005445,Full Range
6233,NCT01092416,Full Range
1912,NCT02052544,Full Range
8554,NCT00268242,Full Range
2962,NCT00463060,Full Range
5370,NCT02201212,Full Range
136,NCT01568424,Full Range
136,NCT01568424,Full Range
136,NCT01568424,Full Range
136,NCT01568424,Full Range
7596,NCT01661283,Full Range
5800,NCT00694551,Full Range
6067,NCT02025179,Full Range
3137,NCT01951092,Full Range
6081,NCT01763931,Full Range
5496,NCT01528878,Full Range
5496,NCT01528878,Full Range
136,NCT01568424,Full Range
6240,NCT02421666,Full Range
5496,NCT01528878,Full Range
6594,NCT01326481,Full Range
2393,NCT02219321,Full Range
6374,NCT02394600,Full Range
1447,NCT00764322,Full Range
5496,NCT01528878,Full Range
1447,NCT00764322,Full Range
5496,NCT01528878,Full Range
7227,NCT00860951,Full Range
5156,NCT01324102,Full Range
6600,NCT02383472,Full Range
3173,NCT00995488,Full Range
5496,NCT01528878,Full Range
5370,NCT02201212,Full Range
7952,NCT00124618,Full Range
1673,NCT01381016,Full Range
6186,NCT00921557,Full Range
1693,NCT01782898,Full Range
1693,NCT01782898,Full Range
7296,NCT03767894,Full Range
1693,NCT01782898,Full Range
7292,NCT01529034,Full Range
7292,NCT01529034,Full Range
7292,NCT01529034,Full Range
7292,NCT01529034,Full Range
7292,NCT01529034,Full Range
5620,NCT01291277,Full Range
5709,NCT00326495,Full Range
3445,NCT01764685,Full Range
6171,NCT00410059,Full Range
6170,NCT00411632,Full Range
6661,NCT00107991,Full Range
6661,NCT00107991,Full Range
2558,NCT01871545,Full Range
2558,NCT01871545,Full Range
2558,NCT01871545,Full Range
5614,NCT01591733,Full Range
5614,NCT01591733,Full Range
6160,NCT00591864,Full Range
6186,NCT00921557,Full Range
6186,NCT00921557,Full Range
6186,NCT00921557,Full Range
8527,NCT00723203,Full Range
6639,NCT01535326,Full Range
2635,NCT00924898,Full Range
2635,NCT00924898,Full Range
2635,NCT00924898,Full Range
8765,NCT00280748,Full Range
6966,NCT01119001,Full Range
2630,NCT03286283,Full Range
8515,NCT01352286,Full Range
6647,NCT01032044,Full Range
6196,NCT01076504,Full Range
7812,NCT01102972,Full Range
3428,NCT01852955,Full Range
5683,NCT00923936,Full Range
7475,NCT01304407,Full Range
6456,NCT02461771,Full Range
7812,NCT01102972,Full Range
8759,NCT00983892,Full Range
6461,NCT00856999,Full Range
7853,NCT02006719,Full Range
8492,NCT01245673,Full Range
3948,NCT01058421,Full Range
1698,NCT02742532,Full Range
22,NCT00928694,Full Range
22,NCT00928694,Full Range
22,NCT00928694,Full Range
3320,NCT00585689,Full Range
4322,NCT01285960,Full Range
8437,NCT00679289,Full Range
7926,NCT00265850,Full Range
7927,NCT00134056,Full Range
8437,NCT00679289,Full Range
7928,NCT02331368,Full Range
7929,NCT00075946,Full Range
7930,NCT00008385,Full Range
5735,NCT01987830,Full Range
1421,NCT02394457,Full Range
2702,NCT01217840,Full Range
3373,NCT03221192,Full Range
2484,NCT01985763,Full Range
5090,NCT00313144,Full Range
2702,NCT01217840,Full Range
2702,NCT01217840,Full Range
3014,NCT00991185,Full Range
3495,NCT02122445,Full Range
7941,NCT00110084,Full Range
7944,NCT00365105,Full Range
7947,NCT01091454,Full Range
5101,NCT00574587,Full Range
2694,NCT01386528,Full Range
4412,NCT02546388,Full Range
1680,NCT00973674,Full Range
1403,NCT00006604,Full Range
3455,NCT01284127,Full Range
3455,NCT01284127,Full Range
5712,NCT03249779,Full Range
8733,NCT00831766,Full Range
5056,NCT00568854,Full Range
5056,NCT00568854,Full Range
1403,NCT00006604,Full Range
2531,NCT01222585,Full Range
2531,NCT01222585,Full Range
2531,NCT01222585,Full Range
1316,NCT02207608,Full Range
5733,NCT02602223,Full Range
